Date,Ref/Check,Description,Amount,Balance,Memo,Category
8/21/2015,,IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D,3200,6582.17,,
8/21/2015,,POS Payment THE HOME DEPOT 4407 LINDON UT #7552,-22.28,6559.89,,
8/21/2015,,POS Payment USPS 49663001534502450 OREM UT #7552,-44.49,6515.4,,
8/21/2015,,POS Payment EXXONMOBIL 47263868 OREM UT #7552,-52,6463.4,,
8/21/2015,,Other Withdrawal CAPITAL ONE ONLINE PMT,-2500,3963.4,,
8/21/2015,,Daily Ledger Bal,,3963.4,,
8/24/2015,,Rebate Prog. Credit FUEL REBATE,0.91,3964.31,,
8/24/2015,,ACH Deposit GOOGLE WALLET 000530206 REFUND,30,3994.31,,
8/24/2015,,ACH Deposit GOOGLE WALLET 000530461 REFUND,30,4024.31,,
8/24/2015,,Other Withdrawal GOOGLE WALLET 000530105 DEBIT,-10,4014.31,,
8/24/2015,,Other Withdrawal GOOGLE WALLET 000530087 DEBIT,-15,3999.31,,
8/24/2015,,Other Withdrawal GOOGLE WALLET 000530087 DEBIT,-60,3939.31,,
8/24/2015,,Other Withdrawal ADP PAYROLL FEES ADP - FEES,-64.55,3874.76,,
8/24/2015,,Daily Ledger Bal,,3874.76,,
8/25/2015,,ACH Deposit GOOGLE WALLET 000530580 REFUND,100,3974.76,,
8/25/2015,,IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D,3501,7475.76,,
8/25/2015,,Alliance Payoff MMA to LOC Sweep,-6489.07,986.69,,
8/25/2015,,Other Withdrawal ADP TX/FINCL SVC ADP - TAX,-7.6,979.09,,
8/25/2015,,Other Withdrawal ADP TX/FINCL SVC ADP - TAX,-669.34,309.75,,
8/25/2015,,Other Withdrawal ADP TX/FINCL SVC ADP - TAX,-2510.43,-2200.68,,
8/25/2015,,Alliance Payoff LOC to MMA Sweep,6489.07,4288.39,,
8/25/2015,,Daily Ledger Bal,,4288.39,,
