"Date","Ref/Check","Description","Amount","Balance","Memo","Category"
06/08/2015,,"ACH Deposit EXT TRF ONLINE",4500,25367.35,,
06/08/2015,,"IB Debit IB TR TO ACCT *3068 Transfer Online from",-18000,7367.35,,
06/08/2015,,"Daily Ledger Bal",,7367.35,,
06/09/2015,,"Alliance Payoff MMA to LOC Sweep",-134262.27,-126894.92,,
06/09/2015,,"ACH Withdrawal EXT TRF ONLINE",-643.5,-127538.42,,
06/09/2015,,"ACH Withdrawal BEST PASS INC. PAYMENT",-1524.23,-129062.65,,
06/09/2015,,"Alliance Payoff LOC to MMA Sweep",134262.27,5199.62,,
06/09/2015,,"Daily Ledger Bal",,5199.62,,
06/10/2015,,"ACH Deposit AMERILUX LOGI657 CASH C&D",3589,8788.62,,
06/10/2015,,"IB Debit IB TR TO ACCT *1294 Transfer Online from",-2015,6773.62,,
06/10/2015,,"Daily Ledger Bal",,6773.62,,
06/11/2015,7497737402,"Guaranteed Check",58000,64773.62,,
06/11/2015,,"IB Debit IB TR TO ACCT *3068 Transfer Online from",-717.27,64056.35,,
06/11/2015,,"IB Debit IB TR TO ACCT *0108 Transfer Online from",-2241.62,61814.73,,
06/11/2015,,"IB Debit IB TR TO ACCT *0306 Transfer Online from",-3591.3,58223.43,,
06/11/2015,,"IB Debit IB TR TO ACCT *9306 Transfer Online from",-6301.15,51922.28,,
06/11/2015,,"Daily Ledger Bal",,51922.28,,
06/12/2015,169455983,"Guaranteed Check",2000,53922.28,,
06/12/2015,,"IB Debit IB TR TO ACCT *3068 Transfer Online from",-16000,37922.28,,
06/12/2015,,"ACH Withdrawal TRANSFLO EXPRESS PAYABLES DYNAMICS EFT DEPOS",-7.34,37914.94,,
06/12/2015,,"ACH Withdrawal CAPITAL ONE ONLINE PMT",-12000,25914.94,,
06/12/2015,,"ACH Withdrawal CAPITAL ONE ONLINE PMT",-20000,5914.94,,
06/14/2015,,"Analysis Charge 05 2015 Charge",-58.51,5856.43,,
06/14/2015,,"Daily Ledger Bal",,5856.43,,
06/15/2015,,"IB Debit IB TR TO ACCT *3068 Transfer Online from",-2000,3856.43,,
06/15/2015,,"Daily Ledger Bal",,3856.43,,
06/16/2015,7497744995,"Guaranteed Check",20000,23856.43,,
06/16/2015,,"Alliance Payoff MMA to LOC Sweep",-67932.19,-44075.76,,
06/16/2015,,"IB Debit IB TR TO ACCT *3068 Transfer Online from",-3000,-47075.76,,
06/16/2015,,"Alliance Payoff LOC to MMA Sweep",67932.19,20856.43,,
06/16/2015,,"Daily Ledger Bal",,20856.43,,
06/17/2015,,"IB Debit IB TR TO ACCT *1294 Transfer Online from",-2015,18841.43,,
06/17/2015,,"IB Debit IB TR TO ACCT *3068 Transfer Online from",-3000,15841.43,,
06/17/2015,,"ACH Withdrawal EXT TRF ONLINE",-120,15721.43,,
06/17/2015,,"ACH Withdrawal EXT TRF ONLINE",-142.66,15578.77,,
06/17/2015,,"ACH Withdrawal EXT TRF ONLINE",-350,15228.77,,
