"Date","No.","Description","Debit","Credit"
"7/22/2015","0794","THE HOME DEPOT 4407 LINDON UT 84042 US","43.49",""
"7/23/2015","4461","CAPITAL ONE ONLINE PYMT AuthDate 23-JUL","","20000.00"
"7/24/2015","6424","IN *GLOBAL TRACKING COMMU 951-6747451 CA 92590 US","40.00",""
"7/25/2015","0794","NATIONAL LEASE OF UTAH SALT LAKE CIT UT 84104 US","7659.74",""
"7/27/2015","0794","MCCANDLESS RENTAL & LEASI N LAS VEGAS NV 89030 US","993.14",""
"7/28/2015","6424","LOANSTAR LEASING 801-433-5425 UT 84119 US","720.56",""
"7/28/2015","2150","IDEALEASE OF EL PASO 915-858-4644 TX 79936 US","1771.89",""
"7/28/2015","2150","IDEALEASE OF EL PASO 915-858-4644 TX 79936 US","6883.80",""
"7/30/2015","0794","NATIONAL LEASE OF UTAH SALT LAKE CIT UT 84104 US","1000.00",""
"7/30/2015","4461","CAPITAL ONE ONLINE PYMT AuthDate 30-JUL","","12000.00"
"7/31/2015","6424","LOANSTAR LEASING 801-433-5425 UT 84119 US","720.56",""
"8/1/2015","0794","NATIONAL LEASE OF UTAH SALT LAKE CIT UT 84104 US","7651.31",""
"8/1/2015","0794","MCCANDLESS RENTAL & LEASI N LAS VEGAS NV 89030 US","1023.14",""
"8/4/2015","0794","TIRE-RAMA - SULLIVAN SPOKANE VLY WA 99216 US","1217.36",""
"8/4/2015","4461","CAPITAL ONE ONLINE PYMT AuthDate 04-AUG","","15000.00"
