"Date","Ref/Check","Description","Amount","Balance","Memo","Category"
10/26/2015,,"Daily Ledger Bal",,1221.27,,
10/27/2015,,"IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D",2001,3222.27,,
10/27/2015,,"ACH Payment MANAGEMENT SERV ONLINE TRF",-350,2872.27,,
10/27/2015,,"IB Transfer W/D IB TR TO ACCT *1294 Transfer Online from",-2000,872.27,,
10/27/2015,,"Daily Ledger Bal",,872.27,,
10/30/2015,,"IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D",9000,9872.27,,
10/30/2015,,"ACH Deposit MANAGEMENT SERV ONLINE TRF",13000,22872.27,,
10/30/2015,,"IB Transfer W/D IB TR TO ACCT *3068 Transfer Online from",-13000,9872.27,,
10/31/2015,,"Accr Earning Pymt Added to Account",.87,9873.14,,
10/31/2015,,"Daily Ledger Bal",,9873.14,,
11/02/2015,,"ACH Payment ACH PAYMENT GE CAPITAL",-2886.81,6986.33,,
11/02/2015,,"ACH Payment ACH PAYMENT GE CAPITAL",-2886.81,4099.52,,
11/02/2015,,"ACH Payment ACH PAYMENT GE CAPITAL",-2886.81,1212.71,,
11/02/2015,,"Daily Ledger Bal",,1212.71,,
11/04/2015,,"IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D",2350,3562.71,,
11/04/2015,,"ACH Payment MANAGEMENT SERV ONLINE TRF",-350,3212.71,,
11/04/2015,,"IB Transfer W/D IB TR TO ACCT *1294 Transfer Online from",-2000,1212.71,,
11/04/2015,,"Daily Ledger Bal",,1212.71,,
11/09/2015,,"IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D",2001,3213.71,,
11/09/2015,,"Daily Ledger Bal",,3213.71,,
11/10/2015,,"ACH Payment ACH PAYMENT GE CAPITAL",-2995.6,218.11,,
11/10/2015,,"Daily Ledger Bal",,218.11,,
11/12/2015,,"IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D",2350,2568.11,,
11/12/2015,,"ACH Payment MANAGEMENT SERV ONLINE TRF",-350,2218.11,,
11/12/2015,,"Daily Ledger Bal",,2218.11,,
11/15/2015,,"Analysis Charge",-11.05,2207.06,,
11/15/2015,,"Daily Ledger Bal",,2207.06,,
11/16/2015,,"POS Payment SIG PROGRESSIVE *INSURANCE 800-776-4737 OH #3236",-2198.73,8.33,,
11/16/2015,,"Daily Ledger Bal",,8.33,,
11/18/2015,,"IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D",2350,2358.33,,
11/18/2015,,"ACH Payment MANAGEMENT SERV ONLINE TRF",-350,2008.33,,
11/18/2015,,"IB Transfer W/D IB TR TO ACCT *1294 Transfer Online from",-2000,8.33,,
11/18/2015,,"Daily Ledger Bal",,8.33,,
