Date,Ref/Check,Description,Amount,Balance,Memo,Category
7/31/2015,,Alliance Payoff MMA to LOC Sweep,-890.29,2340.41,,
7/31/2015,,Accr Earning Pymt Added to Account,0.74,2341.15,,
7/31/2015,,IB Debit IB TR TO ACCT *0817 Transfer Online from,-700,1641.15,,
7/31/2015,,Alliance Payoff LOC to MMA Sweep,890.29,2531.44,,
7/31/2015,,Fee Charge Over Limit Fee Auto,-21.5,2509.94,,
7/31/2015,,Fee Payment Over Limit Fee,21.5,2531.44,,
7/31/2015,,Daily Over Limit Over Limit Fee,-21.5,2509.94,,
7/31/2015,,Daily Ledger Bal,,2509.94,,
8/3/2015,,Other Withdrawal ADP PAYROLL FEES ADP - FEES,-64.55,2445.39,,
8/3/2015,,Other Withdrawal EXT TRF ONLINE,-1357.95,1087.44,,
8/3/2015,,Daily Ledger Bal,,1087.44,,
8/4/2015,,IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D,2000,3087.44,,
8/4/2015,,IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D,2000,5087.44,,
8/4/2015,,Alliance Payoff MMA to LOC Sweep,-6000.74,-913.3,,
8/4/2015,,Wire Out Garrett Barber,-2000,-2913.3,,
8/4/2015,,Other Withdrawal ADP TX/FINCL SVC ADP - TAX,-6.08,-2919.38,,
8/4/2015,,Other Withdrawal ADP TX/FINCL SVC ADP - TAX,-495.53,-3414.91,,
8/4/2015,,Other Withdrawal ADP TX/FINCL SVC ADP - TAX,-2055.13,-5470.04,,
8/4/2015,,Alliance Payoff LOC to MMA Sweep,6000.74,530.7,,
8/4/2015,,Daily Ledger Bal,,530.7,,
8/5/2015,,IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D,2000,2530.7,,
8/5/2015,,Other Withdrawal GOOGLE WALLET 000528101 DEBIT,-11,2519.7,,
8/5/2015,,Daily Ledger Bal,,2519.7,,
8/6/2015,,IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D,1500,4019.7,,
8/6/2015,,Daily Ledger Bal,,4019.7,,
8/7/2015,,IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D,2500,6519.7,,
8/7/2015,,Other Withdrawal GOOGLE WALLET 000528299 DEBIT,-45,6474.7,,
8/7/2015,,Other Withdrawal EXT TRF ONLINE,-1363,5111.7,,
8/7/2015,,Other Withdrawal CAPITAL ONE ONLINE PMT,-2000,3111.7,,
8/7/2015,,Daily Ledger Bal,,3111.7,,
8/10/2015,,IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D,2000,5111.7,,
