"Date","No.","Description","Debit","Credit"
"6/15/2015","8903","Trucks Unlimited Inc MUSCATINE IA 52761 US","59.92",""
"6/15/2015","8461","GREYHOUND LINES CNP 214-849-8966 TX 75201 US","288.50",""
"6/15/2015","1138","POSTSCAN MAIL 800-624-5866 CA 92801 US","24.90",""
"6/15/2015","1138","POSTSCAN MAIL 800-624-5866 CA 92801 US","24.90",""
"6/15/2015","1138","POSTSCAN MAIL 800-624-5866 CA 92801 US","24.90",""
"6/15/2015","1138","POSTSCAN MAIL 800-624-5866 CA 92801 US","24.90",""
"6/15/2015","1138","POSTSCAN MAIL 800-624-5866 CA 92801 US","24.90",""
"6/15/2015","1138","POSTSCAN MAIL 800-624-5866 CA 92801 US","24.90",""
"6/15/2015","1138","POSTSCAN MAIL 800-624-5866 CA 92801 US","24.90",""
"6/15/2015","8461","EXPEDIA*1108100642166 EXPEDIA.COM NV 89144 US","72.82",""
"6/15/2015","2794","LASERLINE ALIGNMENT WEST VALLEY C UT 84170 US","136.77",""
"6/15/2015","9356","T-MOBILE RECURRING PMT 800-937-8997 WA 98006 US","509.14",""
"6/15/2015","0710","PRIVATEINTERNETACCESS 855-266-6876 MI 49418 US","6.95",""
"6/15/2015","0710","GOLDEN FROG INC. 512-215-4183 TX 78746 US","14.99",""
"6/15/2015","2423","FEDEXOFFICE 00055962 OREM UT 84058 US","11.22",""
"6/16/2015","1138","MAVERIK #459 PLEASANT GROV UT 84062 US","20.00",""
"6/16/2015","8903","OR DOT MOTOR CARRIER 503-3786699 OR 97301 US","43.23",""
"6/16/2015","8461","EXPEDIA*1108153865420 EXPEDIA.COM NV 89144 US","324.30",""
"6/16/2015","8461","EXPEDIA*1108154851168 EXPEDIA.COM NV 89144 US","54.05",""
"6/16/2015","8461","EXPEDIA*1108170204548 EXPEDIA.COM NV 89144 US","60.49",""
"6/16/2015","8461","EXPEDIA*1108153865420 EXPEDIA.COM NV 89144 US","","324.30"
"6/16/2015","8461","BUDGET INN & SUITES 785-4623338 KS 67701 US","49.89",""
"6/16/2015","9356","PSI*AlpineVillageOpeRENT 801-8775491 UT 84604 US","433.25",""
"6/16/2015","7952","WAL-MART #1768 OREM UT 84058 US","168.24",""
"6/16/2015","7952","I DRIVE SAFELY 800-723-7955 CA 92008 US","14.99",""
"6/16/2015","0710","AVANGATE*IOLO.COM 888-2471614 CA 94065 US","32.00",""
"6/16/2015","0710","ARV*ARVIXE 888-9278493 CA 94566 US","10.00",""
"6/16/2015","2423","OR DOT MOTOR CARRIER 503-3786699 OR 97301 US","73.70",""
"6/17/2015","9122","EXPEDIA*1108251577481 EXPEDIA.COM NV 89144 US","141.00",""
"6/17/2015","9122","EXPEDIA*1108255522188 EXPEDIA.COM NV 89144 US","70.50",""
"6/17/2015","9122","EXPEDIA*1108258966701 EXPEDIA.COM NV 89144 US","37.00",""
