"Date","Ref/Check","Description","Amount","Balance","Memo","Category"
11/09/2015,,"IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D",2001,3213.71,,
11/09/2015,,"Daily Ledger Bal",,3213.71,,
11/10/2015,,"ACH Payment ACH PAYMENT GE CAPITAL",-2995.6,218.11,,
11/10/2015,,"Daily Ledger Bal",,218.11,,
11/12/2015,,"IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D",2350,2568.11,,
11/12/2015,,"ACH Payment MANAGEMENT SERV ONLINE TRF",-350,2218.11,,
11/12/2015,,"Daily Ledger Bal",,2218.11,,
11/15/2015,,"Analysis Charge",-11.05,2207.06,,
11/15/2015,,"Daily Ledger Bal",,2207.06,,
11/16/2015,,"POS Payment SIG PROGRESSIVE *INSURANCE 800-776-4737 OH #3236",-2198.73,8.33,,
11/16/2015,,"Daily Ledger Bal",,8.33,,
11/18/2015,,"IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D",2350,2358.33,,
11/18/2015,,"ACH Payment MANAGEMENT SERV ONLINE TRF",-350,2008.33,,
11/18/2015,,"IB Transfer W/D IB TR TO ACCT *1294 Transfer Online from",-2000,8.33,,
11/18/2015,,"Daily Ledger Bal",,8.33,,
11/25/2015,,"IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D",2350,2358.33,,
11/25/2015,,"ACH Payment MANAGEMENT SERV ONLINE TRF",-350,2008.33,,
11/25/2015,,"ACH Payment MANAGEMENT SERV ONLINE TRF",-350,1658.33,,
11/25/2015,,"Daily Ledger Bal",,1658.33,,
11/30/2015,,"IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D",9000,10658.33,,
11/30/2015,,"ACH Deposit MANAGEMENT SERV ONLINE TRF",25000,35658.33,,
11/30/2015,,"IB Transfer W/D IB TR TO ACCT *1294 Transfer Online from",-1650,34008.33,,
11/30/2015,,"IB Transfer W/D IB TR TO ACCT *3068 Transfer Online from",-25000,9008.33,,
11/30/2015,,"Accr Earning Pymt Added to Account",.33,9008.66,,
11/30/2015,,"Daily Ledger Bal",,9008.66,,
12/01/2015,,"ACH Deposit MANAGEMENT SERV ONLINE TRF",25000,34008.66,,
12/01/2015,,"ACH Payment ACH PAYMENT GE CAPITAL",-2886.81,31121.85,,
12/01/2015,,"ACH Payment ACH PAYMENT GE CAPITAL",-2886.81,28235.04,,
12/01/2015,,"ACH Payment ACH PAYMENT GE CAPITAL",-2886.81,25348.23,,
12/01/2015,,"IB Transfer W/D IB TR TO ACCT *3068 Transfer Online from",-25000,348.23,,
12/01/2015,,"Daily Ledger Bal",,348.23,,
12/02/2015,,"ACH Deposit MANAGEMENT SERV ONLINE TRF",1000,1348.23,,
12/02/2015,,"IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D",2350,3698.23,,
12/02/2015,,"ACH Payment MANAGEMENT SERV ONLINE TRF",-350,3348.23,,
12/02/2015,,"IB Transfer W/D IB TR TO ACCT *1294 Transfer Online from",-2000,1348.23,,
12/02/2015,,"Daily Ledger Bal",,1348.23,,
