Date,Ref/Check,Description,Amount,Balance,Memo,Category
8/12/2015,,ACH Withdrawal HARLAND CLARKE CHK ORDERS,-20.85,3987.33,,
8/12/2015,,Daily Ledger Bal,,3987.33,,
8/14/2015,,IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D,5600,9587.33,,
8/16/2015,,Analysis Charge 07 2015 Charge,-11.45,9575.88,,
8/16/2015,,Daily Ledger Bal,,9575.88,,
8/17/2015,,ACH Withdrawal ADP TX/FINCL SVC ADP - TAX,-10.23,9565.65,,
8/17/2015,,ACH Withdrawal ADP TX/FINCL SVC ADP - TAX,-1473.19,8092.46,,
8/17/2015,,ACH Withdrawal ADP TX/FINCL SVC ADP - TAX,-4070.19,4022.27,,
8/17/2015,,Daily Ledger Bal,,4022.27,,
8/18/2015,,Alliance Payoff MMA to LOC Sweep,-5585.91,-1563.64,,
8/18/2015,,Alliance Payoff LOC to MMA Sweep,5585.91,4022.27,,
8/18/2015,,Daily Ledger Bal,,4022.27,,
8/21/2015,,IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D,4200,8222.27,,
8/21/2015,,ACH Withdrawal ADP PAYROLL FEES ADP - FEES,-56.75,8165.52,,
8/21/2015,,Daily Ledger Bal,,8165.52,,
