Date,Ref/Check,Description,Amount,Balance,Memo,Category
8/12/2015,,IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D,2000,7256.17,,
8/12/2015,,IB Debit IB TR TO ACCT *1294 Transfer Online from,-2000,5256.17,,
8/12/2015,8,Check,-770,4486.17,,
8/12/2015,,ACH Withdrawal EXT TRF ONLINE,-350,4136.17,,
8/12/2015,,Daily Ledger Bal,,4136.17,,
8/14/2015,,ACH Withdrawal TRANSFLO EXPRESS PAYABLES DYNAMICS EFT DEPOS,-7.34,4128.83,,
8/16/2015,,Analysis Charge 07 2015 Charge,-13.6,4115.23,,
8/16/2015,,Daily Ledger Bal,,4115.23,,
8/17/2015,,ACH Withdrawal EXT TRF ONLINE,-749.25,3365.98,,
8/17/2015,,Daily Ledger Bal,,3365.98,,
8/18/2015,,IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D,1100,4465.98,,
8/18/2015,,Alliance Payoff MMA to LOC Sweep,-5808.52,-1342.54,,
8/18/2015,,ACH Withdrawal BEST PASS INC. PAYMENT,-1918.33,-3260.87,,
8/18/2015,,Alliance Payoff LOC to MMA Sweep,5808.52,2547.65,,
8/18/2015,,Daily Ledger Bal,,2547.65,,
8/20/2015,,IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D,2350,4897.65,,
8/20/2015,9,Check,-658.08,4239.57,,
8/20/2015,,ACH Withdrawal EXT TRF ONLINE,-350,3889.57,,
8/20/2015,,Daily Ledger Bal,,3889.57,,
