Date,No.,Description,Debit,Credit
8/10/2015,8446,GREYHOUND LINES CNP 214-849-8966 TX 75201 US,164.5,
8/10/2015,8446,GREYHOUND LINES CNP 214-849-8966 TX 75201 US,168.5,
8/10/2015,8446,HOLIDAY OIL # 54 PLEASANT GROV UT 84062 US,28,
8/10/2015,8446,JEFFERSON LINES 605-2247651 SD 57501 US,183,
8/10/2015,2788,WWW CALLFIRE COM 213-221-2289 CA 90401 US,276.55,
8/11/2015,8446,GRYHNDLINES REF 5787 DALLAS TX 75201 US,,130.5
8/11/2015,8446,WAL-MART #5270 LINDON UT 84042 US,231.34,
8/11/2015,8446,MCDONALD'S F18188 OREM UT 84057 US,7.95,
8/11/2015,8446,MCDONALD'S F18188 OREM UT 84057 US,6.46,
8/12/2015,8446,GOOGLE *ADWS7953673087 CC@GOOGLE.COM CA 94043 US,200,
8/12/2015,8446,EXXONMOBIL 47263868 OREM UT 84057 US,45,
8/12/2015,8446,FEDEXOFFICE 00055962 OREM UT 00000 US,20.77,
8/12/2015,8446,WAL-MART #1768 OREM UT 84058 US,448.91,
8/12/2015,2788,CAPITAL ONE ONLINE PYMT AuthDate 12-AUG,,3000
8/13/2015,8446,CHEVRON 00204564 LEHI UT 84043 US,25.05,
8/13/2015,8446,UTAH CORPORATIONS REG 801-530-6431 UT 84114 US,22,
8/13/2015,8446,IN *EVILSIZOR PROCESS SER 303-4822965 CO 80123 US,65,
8/14/2015,8446,UTAH CORPORATIONS RENE 801-530-6431 UT 84114 US,15,
8/14/2015,8446,WIX.COM*111927145 800-6000949 NY 10011 US,6.9,
8/14/2015,8446,MACEY'S LEHI LEHI UT 84043 US,17.94,
8/15/2015,8446,GREYHOUND LINES CNP 214-849-8966 TX 75201 US,219.5,
8/15/2015,8446,UT INTERACTIVE-INTERNET 801-983-0275 UT 84111 US,1,
8/15/2015,8446,HOLIDAY OIL # 54 PLEASANT GROV UT 84062 US,53.05,
8/15/2015,1420,CLIMBER.COM 8003740120 619-6184200 CA 92101 US,129,
8/17/2015,8446,UTAH CORPORATIONS RENE 801-530-6431 UT 84114 US,15,
8/17/2015,8446,AUTOZONE #6231 PLEASANT GROV UT 84062 US,38.17,
8/17/2015,405,THE HOME DEPOT 4407 LINDON UT 84042 US,254.3,
8/17/2015,1420,GREYHOUND LINES CNP 214-849-8966 TX 75201 US,240.5,
8/17/2015,1420,GREYHOUND LINES CNP 214-849-8966 TX 75201 US,264.5,
8/17/2015,1420,GREYHOUND LINES CNP 214-849-8966 TX 75201 US,224.5,
8/18/2015,8446,CHEVRON 00206240 LINDON UT 84042 US,30,
8/18/2015,8446,PREPASS 800-773-7277 AZ 85003 US,178.85,
8/18/2015,8446,WAL-MART #5270 LINDON UT 84042 US,65.84,
8/18/2015,1420,CHEAPOAIR.COM AIR CHEAPOAIR.COM NY 10020 US,17,
8/18/2015,1420,FRONTIER AI U12QUB DENVER CO 80249 US,129.6,
8/19/2015,8446,WAL-MART #5270 LINDON UT 84042 US,176.56,
8/19/2015,8446,HOLIDAY OIL # 54 PLEASANT GROV UT 84062 US,45,
8/19/2015,2788,CAPITAL ONE ONLINE PYMT AuthDate 19-AUG,,2500
8/20/2015,8446,UTAH CORPORATIONS REG 801-530-6431 UT 84114 US,22,
8/20/2015,8446,UTAH CORPORATIONS REG 801-530-6431 UT 84114 US,22,
8/20/2015,8446,UTAH CORPORATIONS REG 801-530-6431 UT 84114 US,22,
8/20/2015,8446,UTAH CORPORATIONS REG 801-530-6431 UT 84114 US,22,
8/20/2015,8446,UTAH CORPORATIONS REG 801-530-6431 UT 84114 US,22,
8/20/2015,8446,HOLIDAY OIL # 54 PLEASANT GROV UT 84062 US,20,
