"Date","No.","Description","Debit","Credit"
"6/20/2015","6424","LOANSTAR LEASING 801-433-5425 UT 84119 US","1080.84",""
"6/22/2015","0794","MCCANDLESS RENTAL & LEASI N LAS VEGAS NV 89030 US","1098.99",""
"6/23/2015","2150","IDEALEASE OF EL PASO 915-858-4644 TX 79936 US","2741.79",""
"6/24/2015","0794","NATIONAL LEASE OF UTAH SALT LAKE CIT UT 84104 US","6984.38",""
"6/25/2015","4461","CAPITAL ONE ONLINE PYMT AuthDate 25-JUN","","10000.00"
"6/26/2015","0794","INTERSTATE TRANSPORTATI 801-9726033 UT 84104 US","10378.79",""
"6/27/2015","0794","NATIONAL LEASE OF UTAH SALT LAKE CIT UT 84104 US","7013.90",""
"6/27/2015","6424","LOANSTAR LEASING 801-433-5425 UT 84119 US","720.56",""
"6/27/2015","2150","IDEALEASE OF EL PASO 915-858-4644 TX 79936 US","2311.04",""
"6/29/2015","0794","MCCANDLESS RENTAL & LEASI N LAS VEGAS NV 89030 US","1136.78",""
"7/3/2015","6424","LOANSTAR LEASING 801-433-5425 UT 84119 US","720.56",""
"7/6/2015","4461","CAPITAL ONE ONLINE PYMT AuthDate 06-JUL","","20000.00"
"7/8/2015","0794","NATIONAL LEASE OF UTAH SALT LAKE CIT UT 84104 US","7879.09",""
"7/8/2015","4461","CAPITAL ONE ONLINE PYMT AuthDate 08-JUL","","5000.00"
"7/9/2015","2150","IDEALEASE OF EL PASO 915-858-4644 TX 79936 US","1886.42",""
